Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
bio,45730,9,Localized CQR,RELU,Bin 5,0,5,90%,0.9001056359734664,0.005220027577581195,1.8135819628106613,,,,,,,,,2743.9
blog_data,52397,280,Global CQR,RELU,Overall,,,90%,0.8991666666666667,0.004329949454159142,0.282581102848053,0.017310778906836303,10.672577943277119,0.11243401914834976,0.7284450352191925,0.7937977099236642,0.020238632346344376,0.9693702290076336,0.17557251908396948,
blog_data,52397,280,Global CQR,RELU,Bin 1,4,1,90%,0.7937977099236642,0.020238632346344376,0.5691816210746765,,,,,,,,,3144.0
blog_data,52397,280,Global CQR,RELU,Bin 2,3,2,90%,0.8716603053435115,0.012011156871858135,0.29424471259117124,,,,,,,,,3144.0
blog_data,52397,280,Global CQR,RELU,Bin 3,2,3,90%,0.9121819338422392,0.005445251747724169,0.19799720793962478,,,,,,,,,3144.0
blog_data,52397,280,Global CQR,RELU,Bin 4,1,4,90%,0.9488231552162849,0.006398507732560271,0.1813180476427078,,,,,,,,,3144.0
blog_data,52397,280,Global CQR,RELU,Bin 5,0,5,90%,0.9693702290076336,0.009027757544538963,0.17016397267580033,,,,,,,,,3144.0
blog_data,52397,280,Localized CQR,RELU,Overall,,,90%,0.859058524173028,0.0034447842412855334,0.3631427870148737,0.030502783430625607,13.691190324044408,0.050818600505590436,1.6383593364102012,0.7870547073791349,0.010011002839779006,0.9255725190839694,0.13851781170483463,
blog_data,52397,280,Localized CQR,RELU,Bin 1,4,1,90%,0.7870547073791349,0.010011002839779006,1.047506582828833,,,,,,,,,3144.0
blog_data,52397,280,Localized CQR,RELU,Bin 2,3,2,90%,0.8308206106870231,0.008097204779991143,0.3768516069233046,,,,,,,,,3144.0
